bampo	Lithang	Lhasa	Dege
lj0008_006	12@149a2	12@223b1	12@149a6
lj0008_007	12@159b5	12@240a3	12@160b5
lj0008_008	12@167b8	12@252a4	12@168b3
lj0008_009	12@175a6	12@262b7	12@175b7
lj0008_010	12@182a6	12@273a6	12@183a7
lj0008_011	12@190b6	12@286a6	12@192a2
lj0008_012	12@200a3	12@300b1	12@201a8
lj0008_013	12@209b6	12@315a5	12@211b5
lj0008_014	12@218b3	12@328b6	12@221a5
lj0008_015	12@227a8	12@343a1	12@230a8
lj0008_016	12@236a5	12@356a4	12@239a4
lj0008_017	12@245b7	12@369b4	12@248b7
lj0008_018	12@255a1	12@383b1	12@258a7
lj0008_019	12@264a5	12@398a3	12@268a3
lj0008_020	12@271b1	12@409a5	12@275b6
lj0008_021	12@279a4	12@420b3	12@283a8
lj0008_022	12@287b5	12@433a7	12@292a5
lj0008_030	13@66b1	13@97b6	13@66b8
lj0008_031	13@73b6	13@109b1	13@74b3
lj0008_032	13@83a7	13@123b3	13@84b4
lj0008_033	13@92b5	13@137a3	13@94a4
lj0008_034	13@101a3	13@149a4	13@102b5
lj0008_035	13@110a7	13@162a2	13@112a5
lj0008_036	13@121a5	13@177a2	13@123a5
lj0008_037	13@132b4	13@192b7	13@134a2
lj0008_038	13@143a8	13@208b4	13@144a8
lj0008_039	13@153b6	13@224b2	13@154b7
lj0008_040	13@164a3	13@240a1	13@165a3
lj0008_041	13@175a1	13@254b6	13@175a8
lj0008_042	13@183b2	13@267a5	13@183b6
lj0008_043	13@193b5	13@280b7	13@193a8
lj0008_044	13@203a3	13@292b7	13@201b8
lj0008_045	13@213a7	13@306a5	13@211b3
lj0008_046	13@224a4	13@320b4	13@221b6
lj0008_047	13@235b8	13@335b5	13@232a8
lj0008_048	13@247b3	13@351b7	13@243a8
lj0008_049	13@259b8	13@369b4	13@255a3
lj0008_050	13@272b5	13@388a3	13@267a5
lj0008_051	13@284a2	13@404a7	13@277b8
lj0008_052	13@298a2	13@424b3	13@291b2
lj0008_053	13@309b1	13@440b4	13@302a8
lj0009_001	14@2a3	14@1b4	14@1b1
lj0009_002	14@19a3	14@25b5	14@19a5
lj0009_003	14@35a5	14@48b7	14@35a5
lj0009_004	14@54b8	14@77a2	14@56b5
lj0009_005	14@70a2	14@98b6	14@72a6
lj0009_006	14@84b8	14@118b5	14@87a7
lj0009_007	14@103a7	14@142a6	14@104a4
lj0009_008	14@115b3	14@160b3	14@116b5
lj0009_009	14@131b3	14@182b5	14@132a6
lj0009_010	14@149a1	14@204b6	14@148a4
lj0009_011	14@166b1	14@226a5	14@163a7
lj0009_012	14@182a4	14@247b3	14@179b4
lj0009_013	14@202b3	14@273a4	14@198b2
lj0009_014	14@217b4	14@292b4	14@212b3
lj0009_015	14@231a2	14@311a3	14@225b6
lj0009_016	14@244b3	14@330a5	14@239a5
lj0009_017	14@261a8	14@350b6	14@254a5
lj0009_018	15@1b1	14@373b2	14@270a4
lj0009_019	15@17a4	14@395b3	14@286b1
lj0009_020	15@39a7	14@430a7	14@310b5
lj0009_021	15@61b7	14@460b3	14@332b7
lj0009_022	15@75a5	14@479b3	14@346b5
lj0009_023	15@92a8	14@503b7	14@363b6
lj0009_024	15@106b7	14@523a2	14@378b4
lj0009_025	15@122a2	15@1b1	15@1b1
lj0009_026	15@139b4	15@24b2	15@18b4
lj0009_027	15@155b7	15@45a5	15@34a6
lj0009_028	15@170a3	15@65a4	15@49a5
lj0009_029	15@183a4	15@82b1	15@62b1
lj0009_030	15@195a6	15@99a2	15@74b1
lj0009_031	15@208a6	15@116a5	15@87a2
lj0009_032	15@223b4	15@135b7	15@101a8
lj0009_033	15@235b3	15@152a2	15@113b3
lj0009_034	15@245a3	15@165a1	15@123b1
lj0009_035	15@258a7	15@182a5	15@137b1
lj0009_036	16@1b1	15@204a1	15@154a1
lj0009_037	16@13a6	15@220b3	15@165b7
lj0009_038	16@27a5	15@241a7	15@181a3
lj0009_039	16@43a2	15@265b1	15@198b3
lj0009_040	16@59a5	15@288b3	15@215b7
lj0009_041	16@75a2	15@309b5	15@231b7
lj0009_042	16@90a1	15@329a3	15@246b5
lj0009_043	16@105a6	15@350b4	15@262b3
lj0009_044	16@118a2	15@369a3	15@275b5
lj0009_045	16@129b6	15@391a7	15@292a4
lj0009_046	16@149b2	15@418a2	15@312a4
lj0009_047	16@165b1	15@439a7	15@328b2
lj0009_048	16@181a8	15@460b3	15@344a7
lj0009_049	16@195a8	15@479a5	15@358b3
lj0009_050	16@208b5	15@497a5	15@371b5
lj0009_051	16@222b3	15@515a2	15@386a1
lj0009_052	16@238b4	16@1b1	16@1b1
lj0009_053	16@252b8	16@22a2	16@15b2
lj0009_054	16@265b4	16@39b5	16@28a3
lj0009_055	17@1b1	16@60a4	16@41b2
lj0009_056	17@15a7	16@79b7	16@55b2
lj0009_057	17@29a1	16@98b2	16@69b7
lj0009_058	17@41b4	16@116a5	16@82b2
lj0009_059	17@59a2	16@139b7	16@99b1
lj0009_060	17@78a3	16@166b2	16@119a6
lj0009_061	17@97b3	16@193a7	16@139a5
lj0009_062	17@109b1	16@210b6	16@151b2
lj0009_063	17@122a1	16@229a4	16@164b4
lj0009_064	17@135a1	16@252a6	16@180b7
lj0009_065	17@150b5	16@273a4	16@196a5
lj0009_066	17@164a2	16@292a5	16@210a3
lj0009_067	17@176b8	16@309b7	16@223a1
lj0009_068	17@190a5	16@326b1	16@234b7
lj0009_069	17@205a1	16@346a4	16@249b1
lj0009_070	17@218a6	16@366a1	16@264b4
lj0009_071	17@231a5	16@387b1	16@280b6
lj0009_072	17@246b8	16@410b4	16@298a1
lj0009_073	17@264a4	16@434b5	16@316a7
lj0009_074	18@1b1	16@456a5	16@331a4
lj0009_075	18@15b8	16@475b4	16@346a4
lj0009_076	18@32b4	16@497b7	16@364a1
lj0009_077	18@49a8	16@519a2	16@380b6
lj0009_078	18@62b2	16@536a2	17@1b1
lj0009_079	18@84b1	17@1b1	17@24b1
lj0009_080	18@100a8	17@22b3	17@39a1
lj0009_081	18@119a2	17@51a2	17@59a7
lj0009_082	18@138b6	17@76a5	17@76b7
lj0009_083	18@157a6	17@101a3	17@93b5
lj0009_084	18@177a5	17@125b1	17@110b1
lj0009_085	18@194b4	17@147b7	17@125a6
lj0009_086	18@211b8	17@171b4	17@141a6
lj0009_087	18@229b8	17@194b4	17@156b6
lj0009_088	18@244b7	17@214b4	17@169b4
lj0009_089	18@266a5	17@242a5	17@188b1
lj0009_090	18@281a1	17@259b5	17@200b3
lj0009_091	18@297b1	17@279a6	17@214a2
lj0009_092	19@1b1	17@299a5	17@228a1
lj0009_093	19@14b7	17@315b5	17@240a3
lj0009_094	19@30a1	17@335a6	17@254b1
lj0009_095	19@44a7	17@354a6	17@268b3
lj0009_096	19@60a1	17@373a5	17@282b7
lj0009_097	19@73b3	17@390b7	17@295b1
lj0009_098	19@85b6	17@411b2	17@309b2
lj0009_099	19@102b3	17@432a3	17@325a3
lj0009_100	19@116a6	17@447b4	17@337b6
lj0009_101	19@132a6	17@467b5	17@352b3
lj0009_102	19@143b7	17@482b1	17@363a6
lj0009_103	19@162b7	18@1b1	18@1a1
lj0009_104	19@179b5	18@24b6	18@18a2
lj0009_105	19@193b4	18@43a5	18@31a3
lj0009_106	19@206a3	18@60a4	18@43a6
lj0009_107	19@217b7	18@76b2	18@55a1
lj0009_108	19@233a3	18@96b1	18@69a7
lj0009_109	19@249b4	18@117b4	18@84a1
lj0009_110	19@265b2	18@137b6	18@98a5
lj0009_111	19@282a2	18@159a5	18@113b2
lj0009_112	20@1b1	18@180b3	18@129a2
lj0009_113	20@16a8	18@199a5	18@143a5
